Date,Close_Splits,Volume_Splits,Open_Splits,High_Splits,Low_Splits,Open_NoSplits,High_NoSplits,Low_NoSplits,Close_NoSplits,Volume_NoSplits,Daily_Return,Price_Range,Price_Change,Profit,pred_constant,error,squared_error,pred_linear,error_linear,squared_error_linear,Prev_Close
2015-11-27, $117.81,13046450, $118.29, $118.41, $117.6,26.67072012199256,26.69777701305003,26.5151460087471,26.5624942779541,52185600,-0.1863979856087882,0.1826310043029302,-0.1082258440384578,False,26.17548033563116,0.38701394232294106,0.14977979155234475,26.66909910459844,-0.10660482664433957,0.011364589063869692,26.67297744750977
2015-11-25, $118.03,21341960, $119.21, $119.23, $117.92,26.878152111664143,26.882662453768145,26.58729697285016,26.612098693847656,85553200,-0.7149921784721736,0.2953654809179831,-0.2660534178164866,False,26.17548033563116,0.43661835821649575,0.1906355907316682,26.765295289064476,-0.15319659521681928,0.023469196786025975,26.5624942779541
2015-11-24, $118.88,42747950, $117.33, $119.35, $117.12,26.45426758455137,26.90971402520276,26.406919319943405,26.80374336242676,171212800,0.9596383612803904,0.5027947052593547,0.3494757778753907,True,26.17548033563116,0.6282630267956009,0.3947144308383699,26.507005444670256,0.2967379177565057,0.08805339183446674,26.612098693847656
2015-11-23, $117.75,32445680, $119.27, $119.73, $117.34,26.89168132115932,26.99539855351517,26.45652617219215,26.548969268798828,129930000,-1.299255864229798,0.5388723813230207,-0.3427120523604934,False,26.17548033563116,0.3734889331676676,0.1394939831987225,26.858607607982336,-0.3096383391835076,0.09587590109232089,26.80374336242676
2015-11-20, $119.3,34135230, $119.2, $119.92, $118.85,26.875900670825235,27.03823860527076,26.79698687496748,26.8984489440918,137148400,0.4378016420695463,0.2412517303032793,0.0225482732665653,True,26.17548033563116,0.7229686084606399,0.522683608819514,26.759093048827523,0.13935589526427705,0.019420065544908157,26.548969268798828
2015-11-19, $118.78,43233950, $117.64, $119.75, $116.76,26.524165955037567,26.99990555589241,26.32575390717344,26.781200408935547,173183200,1.2703490944670603,0.674151648718972,0.2570344538979796,True,26.17548033563116,0.6057200733043864,0.3668968072038712,26.65277635937648,0.12842404955906517,0.016492736505149225,26.8984489440918
2015-11-18, $117.29,46559730, $115.76, $117.49, $115.5,26.10028615365863,26.49034647415032,26.04166374496005,26.445253372192383,186698800,3.166494684424226,0.4486827291902671,0.3449672185337533,True,26.17548033563116,0.2697730365612223,0.0727774912554626,26.336038067196455,0.10921530499592791,0.011927982845353556,26.781200408935547
2015-11-17, $113.69,27584020, $114.92, $115.05, $113.32,25.910893680503573,25.94020574759523,25.55014367169333,25.6335678100586,110467600,-0.429130493055152,0.3900620759018984,-0.2773258704449759,False,26.17548033563116,-0.5419125255725596,0.2936691853724301,26.095181273155326,-0.46161346309672524,0.21308698931215173,26.445253372192383
2015-11-16, $114.175,37979570, $111.38, $114.24, $111,25.112729637200463,25.757570936007227,25.02705206022718,25.744043350219727,152426800,1.637887962794582,0.7305188757800458,0.6313137130192636,True,26.17548033563116,-0.43143698541143394,0.18613787238090587,25.29175916780648,0.45228418241324775,0.20456098166121997,25.6335678100586
2015-11-13, $112.34,45555300, $115.2, $115.57, $112.27,25.974021066496764,26.05744519313716,25.31339700688268,25.329179763793945,183249600,-2.920822022475656,0.7440481862544779,-0.6448413027028188,False,26.17548033563116,-0.8463005718372152,0.7162246578919974,25.890589057315047,-0.5614092935211019,0.3151803948518628,25.744043350219727
2015-11-12, $115.72,32461350, $116.26, $116.82, $115.65,26.21301240399981,26.339274426018584,26.0754762499332,26.091259002685547,130102400,-0.3358945875457375,0.263798176085384,-0.1217534013142618,False,26.17548033563116,-0.08422133294561363,0.007093232923135903,25.900679595735706,0.19057940694984055,0.03632051035335293,25.329179763793945
2015-11-11, $116.11,45179400, $116.37, $117.42, $115.21,26.23781589096949,26.47455719824885,25.97627114747097,26.1791934967041,180872000,-0.5652135233379263,0.4982860507778781,-0.058622394265388,False,26.17548033563116,0.0037131610729410625,1.3787565153604821e-05,26.18377993357649,-0.004586436872386912,2.103540318439024e-05,26.091259002685547
2015-11-10, $116.77,59029400, $116.9, $118.07, $116.061,26.35731498786991,26.621113190364337,26.16792021569025,26.3280029296875,236511600,-3.151706860572956,0.4531929746740886,-0.0293120581824091,False,26.17548033563116,0.1525225940563395,0.02326314169767493,26.29229943354474,0.035703496142758695,0.001274739636815985,26.1791934967041
2015-11-09, $120.57,33829290, $120.96, $121.81, $120.05,27.27272049186438,27.464368730775384,27.0675446681476,27.18478775024414,135485600,-0.404756452585675,0.3968240626277826,-0.0879327416202393,False,26.17548033563116,1.0093074146129801,1.0187014571927382,26.939750661593067,0.245037088651074,0.06004317481459429,26.3280029296875
2015-11-06, $121.06,33009110, $121.11, $121.81, $120.62,27.30654123926184,27.464368796343848,27.19606194930443,27.29526710510254,132169200,0.115789598874505,0.268306847039419,-0.0112741341593007,False,26.17548033563116,1.1197867694713786,1.2539224090831462,27.261892273383637,0.03337483171890199,0.0011138793922650261,27.18478775024414
2015-11-05, $120.92,39483400, $121.85, $122.69, $120.18,27.473384720633064,27.66277948837272,27.0968520759656,27.26369857788086,158210800,-0.4610092650313757,0.5659274124071203,-0.2096861427522043,False,26.17548033563116,1.0882182422496989,1.1842189427650243,27.409099366831036,-0.14540078895017672,0.02114138942733383,27.29526710510254
2015-11-04, $122,44829060, $123.13, $123.82, $121.62,27.64366222941985,27.79857325722124,27.30465647090154,27.389968872070312,179544400,-0.4650204660296642,0.4939167863196978,-0.2536933573495368,False,26.17548033563116,1.214488536439152,1.4749824051421134,27.508777860607687,-0.1188089885373742,0.014115575757273915,27.26369857788086
2015-11-03, $122.57,45479260, $120.79, $123.49, $120.7,27.11830910887912,27.72447974618764,27.098102507443866,27.517932891845703,182076000,1.1470508023508683,0.6263772387437747,0.3996237829665823,True,26.17548033563116,1.3424525562145426,1.8021788656869597,27.211356795369795,0.3065760964759079,0.09398890293040518,27.389968872070312
2015-11-02, $121.18,32152870, $119.87, $121.36, $119.61,27.12055538078172,27.246279258408084,26.85339042796631,27.205867767333984,128813200,1.4058691048553396,0.3928888304417732,0.0853123865522675,True,26.17548033563116,1.0303874317028239,1.0616982594111415,27.257645670684646,-0.05177790335066135,0.0026809512753904275,27.517932891845703
2015-10-30, $119.5,49305220, $120.99, $121.22, $119.45,27.16320774193074,27.214845307647234,26.81746540347452,26.828691482543945,197461200,-0.8546010295896855,0.3973799041727126,-0.3345162593867954,False,26.17548033563116,0.6532111469127848,0.42668480245111573,27.17606211652466,-0.347370633980713,0.12066635735216248,27.205867767333984
2015-10-29, $120.53,51106100, $118.7, $120.69, $118.27,26.649096053212293,27.09586815849612,26.552557555064425,27.059946060180664,204909200,1.0564509689547474,0.5433106034316921,0.4108500069683707,True,26.17548033563116,0.8844657245495036,0.7822796179028783,26.709585568728528,0.3503604914521361,0.12275247397058234,26.828691482543945
2015-10-28, $119.27,85436210, $116.93, $119.3, $116.06,26.25171183088282,26.78379623162936,26.05638931881799,26.77705955505371,342205600,4.1204472074307,0.7274069128113716,0.5253477241708921,True,26.17548033563116,0.6015792194225504,0.3618975572410451,26.532165056550085,0.24489449850362632,0.05997331539734264,27.059946060180664
2015-10-27, $114.55,67673450, $115.4, $116.54, $113.99,25.90821958132692,26.16415852516625,25.59166252755416,25.71738815307617,279537600,-0.633233556212387,0.5724959976120907,-0.1908314282507532,False,26.17548033563116,-0.4580921825549922,0.20984844771799627,26.209679748771798,-0.4922915956956295,0.24235101519254917,26.77705955505371
2015-10-26, $115.28,66139770, $118.08, $118.13, $114.92,26.50990005092704,26.52112442109389,25.80045408256619,25.881277084350582,265335200,-3.191118598779852,0.7206703385277002,-0.628622966576458,False,26.17548033563116,-0.2942032512805781,0.08655555306406298,26.229752384363515,-0.34847530001293237,0.12143503471910322,25.71738815307617
2015-10-23, $119.08,59251740, $116.7, $119.228, $116.33,26.200073662689697,26.76808014090915,26.11700682825398,26.73440361022949,237467600,3.0995717880277107,0.6510733126551678,0.534329947539792,True,26.17548033563116,0.5589232745983281,0.3123952268877181,26.08567446751439,0.6487291427150979,0.4208495006078658,25.881277084350582
2015-10-22, $115.5,41430660, $114.33, $115.5, $114.1,25.66799021425185,25.9306640625,25.61635264038265,25.9306640625,166616400,1.529529487965453,0.3143114221173455,0.2626738482481485,True,26.17548033563116,-0.2448162731311605,0.05993500758983098,26.03850694336635,-0.1078428808663503,0.011630086953553824,26.73440361022949
2015-10-21, $113.76,42276880, $114, $115.58, $113.7,25.593903318484763,25.94862624924829,25.526550256187043,25.540021896362305,167180800,-0.0087742211441255,0.4220759930612452,-0.0538814221224583,False,26.17548033563116,-0.6354584392688558,0.4038074280380101,25.708761518373365,-0.16873962201105996,0.02847306003643539,25.9306640625
2015-10-20, $113.77,48929200, $111.34, $114.17, $110.82,24.996708765455946,25.63206653358358,24.87996541110645,25.54226303100586,195871200,1.825823462950393,0.7521011224771286,0.5455542655499137,True,26.17548033563116,-0.6332173046253011,0.4009641548769314,25.1835359020982,0.3587271289076597,0.12868515301433267,25.540021896362305
2015-10-19, $111.73,29723750, $110.8, $111.75, $110.11,24.875476153189293,25.0887579743149,24.72056515315236,25.08426856994629,119036800,0.621384657347468,0.3681928211625376,0.2087924167569959,True,26.17548033563116,-1.0912117656848714,1.1907431175690948,25.105479143105512,-0.021210573159223145,0.0004498884137427573,25.54226303100586
2015-10-16, $111.04,38794930, $111.78, $112, $110.53,25.095496735919284,25.14488875574704,24.81486181677032,24.92936134338379,156930400,-0.7330698096696509,0.3300269389767187,-0.1661353925354944,False,26.17548033563116,-1.2461189922473714,1.5528125428396045,25.088122823424982,-0.15876148004119273,0.025205207544870035,25.08426856994629
